keyword,score
climatecrisis,0.03242526890654708
climate,0.030115182094234617
cop28,0.021080116298939532
climatechange,0.01756478349775571
com,0.01709647263651135
www,0.016747655003474634
news,0.014441274328163493
insight,0.00991139043361446
naturally,0.00926544519138603
broadcast,0.009064864524340303
rarely,0.008863002544464
climatesky,0.008715929618354441
greensky,0.008210177724773551
constantly,0.008013614152815915
media,0.007312909017442691
hear,0.006977783957810655
globalwarming,0.0065519304433223815
climateaction,0.006184439561441095
fossil,0.006150295682848233
climateemergency,0.005289706221035403
change,0.004958096660513634
climatebrawl,0.004571829640069392
ourfragilemoment,0.0038508038693150343
energysky,0.0038177496587751742
auspol,0.0038164306509445678
2023,0.0035740629896137445
fossilfuels,0.0035038104409210826
endfossilfuels,0.0034784593419103747
global,0.002647322933961474
new,0.002616420691548915
org,0.0025071361780116905
geosky,0.002445790070737669
renewableenergy,0.0023843178577317176
climatejustice,0.0022577594378170368
cdnpoli,0.0020713422687933204
globalheating,0.002065486447767619
ecosearch,0.002034339320038209
emissions,0.0018713378297060016
climateactionnow,0.0018600789375260946
fossilfuel,0.0016504169122791902
fuels,0.001528090279891925
metacrisis,0.0014940265505888667
environment,0.0014353534667119515
biodiversity,0.0013777110846967056
cop28uae,0.001377298740487642
oil,0.0013401638595219078
extremeweather,0.0012278394057020075
decisionmaker,0.0011833392886052277
climatecatastrophe,0.0011815122237431189
cleanenergy,0.00118093130618386
