keyword,score
climate,0.05819485577446677
climatecrisis,0.04755120418354564
cop28,0.03608270339749251
climatechange,0.02399534290044112
www,0.022361157540177513
news,0.021511490575975584
com,0.02124898138321179
insight,0.015817968878075832
naturally,0.015567228396307123
broadcast,0.015558573674343809
rarely,0.0155078709944048
fossil,0.015081303452556009
constantly,0.015007208122402875
climatesky,0.014544056548039587
change,0.014358170724696506
media,0.013338681669117577
hear,0.013053113259440838
greensky,0.012067165609495735
global,0.011652803475761937
2023,0.011419912465492597
oil,0.010062057520994285
environment,0.009934621151325854
org,0.009922514092219593
emissions,0.00987325979860463
theguardian,0.009169471010355828
fuels,0.008755990037759377
world,0.008273948634539011
science,0.007986482819886424
gas,0.007886665896619379
globalwarming,0.007797409933717292
climateaction,0.007691638177535236
biodiversity,0.0075804749439769
carbon,0.007448155826653629
fuel,0.007438028129987285
2024,0.007086849286095238
sustainability,0.00708549737651201
energy,0.006837788485796681
climateemergency,0.006320992115966407
uk,0.006308755881199116
conference,0.005766498017714075
climatebrawl,0.005554248439906427
new,0.005515054672857092
fossilfuels,0.0054668463926945375
planet,0.005422796882484079
scientists,0.005384392583638006
record,0.005229456686993775
crisis,0.005101581059061269
canada,0.005031395594604091
nature,0.004975047134635881
future,0.0049020600141301785
