user_id,discussion_involvement_ratio,hashtag_post_ratio,pct_url,pct_curse,reply_post_ratio,avg_post_length,total_posts,pct_not_high_factual,pct_not_high_credibility,pct_not_high_popularity,bias_mean,bias_variance,bias_distribution,side,composite_probability,composite_log_odds
127481.0,0.1176470588235294,0.1764705882352941,58.82352941176471,0.0,0.0,252.7058823529412,17,12.5,12.5,12.5,-0.5,0.0,"[-0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5]",0,0.335103775020276,-0.6851907157820409
64608.0,0.0201834862385321,0.0449438202247191,39.325842696629216,2.247191011235955,0.0,206.0561797752809,89,72.72727272727273,54.54545454545454,18.181818181818183,-0.8636363636363636,0.2314049586776859,"[-0.5, -0.5, -1.5, -0.5, -1.5, -0.5, -1.5, -0.5, -1.5, -0.5, -0.5]",1,0.9865037267687217,4.291753512832819
153188.0,0.0305343511450381,0.0338983050847457,8.813559322033898,0.0,0.0,253.7627118644068,295,25.0,12.5,12.5,-0.1875,0.43359375,"[1.5, -0.5, -0.5, -0.5, -0.5, 0.0, -0.5, -0.5]",0,0.4303608942004334,-0.2803788670659839
736208.0,0.0725806451612903,0.0489510489510489,17.482517482517483,0.0,0.0,204.05594405594405,143,11.11111111111111,11.11111111111111,0.0,0.0555555555555555,0.4135802469135802,"[-0.5, 1.5, -0.5, -0.5, -0.5, 0.5, 0.0, 0.0, 0.5]",0,0.21491674123920493,-1.2955390711970933
9648.0,0.0405759162303664,0.0227272727272727,93.18181818181816,0.0,0.0,239.8409090909091,44,45.16129032258064,45.16129032258064,16.129032258064516,-0.5666666666666667,0.2622222222222222,"[-0.5, -0.5, -0.5, 0.0, -1.5, -1.5, -0.5, -0.5, -1.5, 0.0, -0.5, -0.5, -0.5, 0.0, 0.0, -0.5, -1.5, -0.5, -1.5, 0.0, 0.0, -0.5, -0.5, -0.5, 0.0, -0.5, -0.5, 0.0, -0.5, -1.5]",1,0.8459945657667374,1.7035250471219923
144763.0,0.0569800569800569,0.0733812949640287,12.37410071942446,9.640287769784171,0.0,175.47194244604316,695,50.0,25.0,50.0,-1.0,0.25,"[-1.5, -0.5, -1.5, -0.5, -1.5, -0.5, -0.5, -0.5, -0.5, -1.5, -0.5, -0.5, -1.5, -0.5, -1.5, -1.5, -1.5, -0.5, -1.5, -1.5]",1,0.9955380605855073,5.4076998375932375
361343.0,0.006060606060606,0.0329670329670329,21.978021978021975,2.197802197802198,0.0,171.16483516483515,91,66.66666666666666,33.33333333333333,66.66666666666666,-0.8333333333333334,0.2222222222222222,"[-1.5, -0.5, -0.5]",1,0.9974239441854292,5.958916424272026
404787.0,0.015228426395939,0.1153846153846153,44.230769230769226,3.8461538461538463,0.0,199.5192307692308,52,66.66666666666666,16.666666666666664,0.0,-0.5,0.0,"[-0.5, -0.5, -0.5, -0.5, -0.5, -0.5]",1,0.8600307004111964,1.8155449768523142
319.0,0.01875,0.0,29.18918918918919,0.0,0.0,247.4648648648649,185,100.0,0.0,0.0,-0.5,0.0,"[-0.5, -0.5, -0.5, -0.5, -0.5, -0.5]",1,0.9644040550198549,3.2992786246874104
76586.0,0.15,0.0,50.0,0.0,0.0,172.33333333333334,6,33.33333333333333,33.33333333333333,0.0,-0.5,0.0,"[-0.5, -0.5, -0.5]",1,0.9200386036460875,2.4428716570124434
